company_name,stock_name,filing_time,new_product,product_description
CIK-0001341439,ORCL,2024-12-09 16:13:45,Oracle AI Cloud Infrastructure,"A cloud infrastructure service with increased AI capabilities, offering faster and less expensive AI training compared to other clouds."
CIK-0001341439,ORCL,2024-09-27 16:14:32,,This filing does not announce a new product or service.
CIK-0000051143,IBM,2025-03-12 16:48:40,Hybrid Cloud,IBM updates its reported revenue category for Hybrid Cloud within the Software segment
CIK-0000051143,IBM,2025-02-07 16:17:05,,No new product or service is announced in the provided filing.
CIK-0000051143,IBM,2025-02-04 17:24:05,,No new product is explicitly introduced or announced in the provided filing.
CIK-0000051143,IBM,2025-01-30 16:14:18,z17 Mainframe,Next generation z17 mainframe system launch in the middle of 2025
CIK-0000051143,IBM,2025-01-29 16:16:40,Red Hat,"A leading open-source enterprise software platform for cloud, hybrid cloud, and on-premises environments"
CIK-0000051143,IBM,2024-12-09 16:27:24,,No new product announced in this filing.
CIK-0000051143,IBM,2024-10-24 16:12:46,Red Hat AI,"AI capabilities announced for Red Hat, a leading open-source software company acquired by IBM in 2018"
CIK-0000051143,IBM,2024-10-23 16:12:01,IBM Generative AI,"IBM's Generative AI, a service offering that provides trusted and cost-effective AI models with performance leadership. The product book of business now stands at more than $3 b..."
CIK-0001543151,UBER,2025-02-07 17:25:18,,
CIK-0001543151,UBER,2025-02-05 06:56:00,,No new product announced in this filing
CIK-0001543151,UBER,2024-10-31 06:55:56,Rider Verification (nationwide),"Uber's new safety feature for drivers, Rider Verification, introduced nationwide"
CIK-0001543151,UBER,2024-09-27 06:45:16,,
CIK-0001543151,UBER,2024-09-09 16:17:02,,No new product or service is announced in this filing.
CIK-0001543151,UBER,2024-08-06 06:58:28,,
CIK-0001543151,UBER,2024-08-02 16:39:39,,
CIK-0001543151,UBER,2024-05-14 06:00:31,Uber Eats Taiwan expansion,"Expansion of Uber Eats service into foodpanda's delivery business in Taiwan, offering improved experience for consumers, merchants, and delivery partners."
CIK-0001321655,PLTR,2025-02-27 18:02:46,,No new product announced in this filing
CIK-0001321655,PLTR,2025-02-03 16:07:17,,No new product was explicitly announced in this filing.
CIK-0001321655,PLTR,2024-11-14 16:08:10,,No new product announced in the filing.
CIK-0001321655,PLTR,2024-11-04 16:07:10,,No new product is explicitly introduced or announced in the provided filing.
CIK-0001321655,PLTR,2024-08-05 16:08:01,,No new product announced in this filing.
CIK-0001321655,PLTR,2024-06-07 18:55:41,,
CIK-0001321655,PLTR,2024-05-06 16:06:05,,
CIK-0001321655,PLTR,2024-02-05 16:07:25,,No new product announced in this filing
CIK-0001640147,SNOW,2025-03-06 08:55:18,,
CIK-0001640147,SNOW,2025-02-26 16:09:30,,No new product or service is explicitly introduced or announced in this filing.
CIK-0001640147,SNOW,2025-02-26 16:07:28,,No new product announced in this filing.
CIK-0001640147,SNOW,2024-11-20 16:07:11,,
CIK-0001640147,SNOW,2024-09-27 16:08:53,,
CIK-0001640147,SNOW,2024-08-21 16:07:10,,
CIK-0001640147,SNOW,2024-07-05 17:13:33,,
CIK-0001640147,SNOW,2024-07-02 16:55:18,,
CIK-0001428439,ROKU,2025-02-13 16:05:08,,
CIK-0001428439,ROKU,2025-01-07 08:45:19,,
CIK-0001428439,ROKU,2024-10-30 16:05:20,,
CIK-0001428439,ROKU,2024-09-26 16:08:18,Roku Stock Options (under Executive Supplemental Stock Option Program),Options to purchase Roku shares granted to executives under the Executive Supplemental Stock Option Program
CIK-0001428439,ROKU,2024-09-17 16:18:08,,
CIK-0001428439,ROKU,2024-08-01 16:12:58,,
CIK-0001428439,ROKU,2024-06-07 16:13:52,,
CIK-0001428439,ROKU,2024-04-25 16:05:40,,
CIK-0001679788,COIN,2025-02-21 08:15:25,,
CIK-0001679788,COIN,2025-02-13 16:10:21,Base Layer 2 Platform,A blockchain scaling solution to make crypto payments easier for consumers and businesses
CIK-0001679788,COIN,2024-10-30 16:10:05,Integration of stablecoins across product suite,Coinbase is integrating stablecoins into its product suite to enhance the cryptoeconomy's utility
CIK-0001679788,COIN,2024-08-01 16:12:12,Base Layer 2 solution,"Improves efficiency, speed, and lowers costs in on-chain transactions"
CIK-0001679788,COIN,2024-07-25 16:03:30,,
CIK-0001679788,COIN,2024-06-20 16:05:57,,
